,ios_update_issue,battery_issue,device_hardware_issue,connectivity_issue,apple_account_icloud,apps_and_app_store,apple_services,payments_and_billing,device_features_settings,general_support
ios_update_issue,14,0,1,2,0,4,0,0,0,5
battery_issue,11,16,0,0,0,0,0,0,0,3
device_hardware_issue,0,0,5,0,0,0,0,0,0,3
connectivity_issue,4,0,0,7,0,0,0,0,1,1
apple_account_icloud,0,0,0,0,9,0,0,1,0,0
apps_and_app_store,1,0,0,0,2,7,1,1,1,0
apple_services,1,0,2,0,3,1,12,2,0,0
payments_and_billing,0,1,0,0,3,0,1,7,0,2
device_features_settings,8,0,3,6,1,1,2,0,6,8
general_support,5,0,1,0,2,1,0,0,0,21
